,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,938,C,"The vet found malignant tumors on the animals, what is their likely fate?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['euthanasia', 'pass water', 'die of cancer', 'feel pain',
       'feel pleasure'], dtype=object)}",euthanasia,pass water,die of cancer,feel pain,,"### The vet found malignant tumors on the animals, what is their likely fate? (A) euthanasia (B) pass water (C) die of cancer (D) feel pain 
 ### ","
 ### (A) euthanasia 
 ### (A) euthanasia 
 ### (A) euthanasia 
The answer is 
 ### (A) euthanasia 
 ### Which of these is a"
1,1,1112,C,What does someone stop doing when being dead?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moving', 'working', 'breathing', 'alive', 'deadworks'],
      dtype=object)}",moving,working,breathing,alive,,"### What does someone stop doing when being dead? (A) moving (B) working (C) breathing (D) alive 
 ### ","1) moving 
 ### 1) moving 
 ### 1) moving 
* Which of these would be a reason to call a doctor?  (A) a person's heart stops beating (B) a person's breathing stops (C) a person's blood stops circulating (D)"
2,2,188,A,Where could a sloth live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tropical jungle', 'manual', 'work', 'transit', 'countryside'],
      dtype=object)}",tropical jungle,manual,work,transit,,"### Where could a sloth live? (A) tropical jungle (B) manual (C) work (D) transit 
 ### ","1) tropical jungle 
 ### 1) tropical jungle 
 ### 1) tropical jungle 
In this answer, the letter ""A"" corresponds to the option ""tropical jungle"" 
 ### Which of the following is true?  (A) a sloth can"
3,3,984,A,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need for food', 'fitness', 'sweating', 'fastfood', 'thirst'],
      dtype=object)}",need for food,fitness,sweating,fastfood,,"### Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what? (A) need for food (B) fitness (C) sweating (D) fastfood 
 ### ","1) need for food 
 ### 1) need for food 
 ### 1) need for food 

 ### 1) need for food 
 ### 1) need for food 
"
4,4,576,D,Joe plays a percussion instrument in something.  What might be play in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'music store', 'marching band', 'orchestra', 'party'],
      dtype=object)}",own home,music store,marching band,orchestra,,"### Joe plays a percussion instrument in something.  What might be play in? (A) own home (B) music store (C) marching band (D) orchestra 
 ### ","1) own home 
 ### 1) own home 
 ### 1) own home 
4. Which of these is a true statement? 
1. Joe plays a percussion instrument in a marching band 
 ### None of the options provided are correct"
5,5,608,D,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelter', 'floor', 'warm place', 'farmhouse', 'living room'],
      dtype=object)}",shelter,floor,warm place,farmhouse,,"### If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time? (A) shelter (B) floor (C) warm place (D) farmhouse 
 ### ","3) warm place 
 ### 3) warm place 
 ### 3) warm place 
 ### 3) warm place 
 ### 3) warm place 
 ### 3) warm place "
6,6,1189,C,What happens when driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lack of fuel', 'paint scratching', 'wheels turning', 'tire wear',
       'traffic accident'], dtype=object)}",lack of fuel,paint scratching,wheels turning,tire wear,,"### What happens when driving? (A) lack of fuel (B) paint scratching (C) wheels turning (D) tire wear 
 ### ","3) wheels turning 
 ### 3) wheels turning 
D) tire wear 
 ### D) tire wear 
Natural gasses, also known as fossil fuels, are a resource that will eventually run out. When driving, it is important to be mindful of"
7,7,1098,A,How does going jogging generally affect one's self esteem?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel better', 'feel pride', 'sweating', 'ocean', 'arthritis'],
      dtype=object)}",feel better,feel pride,sweating,ocean,,"### How does going jogging generally affect one's self esteem? (A) feel better (B) feel pride (C) sweating (D) ocean 
 ### ","
 ### (A) feel better 
 ### (A) feel better 
 ### (A) feel better 
 ### (A) feel better 
Comprehensive sex education includes information on  (A) how to put on a condom (B) how to prevent pregn"
8,8,383,B,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hatred', 'sleeping in', 'rest', 'making love', 'insomnia'],
      dtype=object)}",hatred,sleeping in,rest,making love,,"### It's Friday night and Alice puts off going to bed because she plans on doing what Saturday? (A) hatred (B) sleeping in (C) rest (D) making love 
 ### ","2) sleeping in 
 ### 2) sleeping in 
 ### 2) sleeping in 
 ### 2) sleeping in 
 ### 2) sleeping in 
 ### 2) sleeping in 
 ### "
9,9,622,A,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'front porch', 'classroom', 'obesity',
       'grocery store'], dtype=object)}",synagogue,front porch,classroom,obesity,,"### The janitor never had much to clean after services, but there was still always a paper or two to pick up where? (A) synagogue (B) front porch (C) classroom (D) obesity 
 ### ","2) classroom 
 ### 2) classroom 
 ### 2) classroom 
In this answer, the correct choice is 2) classroom 
 ### Which of these is a reason that the"
